Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Note-Body,Note-Cilia,Keep
TimelapseBots3.lif,X,Circular,Doublebot_1,7086.626004,3064,0.039545279,216,561,44.77850727,1.6057829,0.55393161,0.20153881,77480.80381,0.09146299,0.13128813,0.15943919,0.84056081,OK,OK,TRUE
LinearMovers_2_11_2_17.lif,0,Straight,TopleftLinearBot,2151.423126,7131,0.091702966,300,680,40.31285055,1.24934092,0.25025755,0.10961326,77761.9345,0.02766679,0.33648297,0.07370323,0.92629677,OK,OK,TRUE
LinearMovers_2_11_2_17.lif,1,Straight,BottomleftLinearbot,15160.58879,13547,0.156778914,527,1091,44.2252495,1.2585656,0.2756194,0.4580055,86408.30365,0.1754529,0.2789329,0.2527497,0.7472503,OK,OK,TRUE
LinearMovers_2_11_2_17.lif,2,Straight,Midrightbot,1852.880709,16975,0.199931021,514,510,47.63890767,1.48050454,0.48473405,0.23490846,84904.28315,0.02182317,0.15353025,0.04381245,0.95618755,OK,OK,TRUE
LinearMovers_2_11_2_17.lif,3,Straight,Solo216,5460.440302,3292,0.086371473,353,1274,39.93290882,1.24071016,0.26473465,0.67127359,38114.43611,0.1434382,0.3777187,0.115554,0.884446,OK,OK,TRUE
LinearMovers_2_11_2_17.lif,4,Straight,Bottomrightbot,17093.97365,3801,0.07088909,234,1669,35.8671356,1.3577162,0.3934843,0.2394915,53618.96978,0.3188046,0.1863391,0.3421813,0.6578187,OK,OK,TRUE
LinearMovers_2_23_2_26.lif,0,Straight,Middlebot,1762.217813,17136,0.214737841,637,647,46.21781909,1.37788403,0.37714632,0.15137309,79799.6287,0.02208303,0.17240948,0.03990048,0.96009952,OK,OK,TRUE
LinearMovers_2_23_2_26.lif,1,Straight,Middlebot2,3749.355769,5843,0.099449612,547,1370,40.11010488,1.25259615,0.30151798,0.44073523,58753.37157,0.06381516,0.23433632,0.11147042,0.88852958,OK,OK,TRUE
LinearMovers_2_23_2_26.lif,2,Straight,225Bot1,13544.10184,3559,0.054844224,197,2076,37.6563672,1.2691762,0.2588855,0.3768259,64892.88588,0.2087147,0.2479407,0.406856,0.593144,OK,OK,TRUE
LinearMovers_2_23_2_26.lif,3,Straight,225Bot2,9626.779083,4175,0.060377027,471,2257,48.2773593,1.1059788,0.107501,0.7381021,69148.81699,0.1392183,0.5010073,0.0762536,0.9237464,OK,OK,TRUE
