BridgeProp,Neuron,Adj,Far
0.638128655,0.625994152,0.056461988,0.023654971
0.592214257,0.545091597,0.040939865,0.017283951
0.373214286,0.462127976,0.038715278,0.03812004
NA,NA,NA,NA
0.44314631,0.537352955,0.1201521,0.032361456
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
0.209664876,0.483750471,0.065822964,0.080752734
