id,x,y,size,frame,track,ignore,track_fixed
1,355.38684503901897,356.4509476031215,1794,1,1,FALSE,1
2,173.34594594594594,262.95341055341055,3885,1,2,FALSE,2
3,213.13425345043916,154.7603513174404,1594,1,3,FALSE,3
4,169.1328960994132,101.72247152226441,2897,1,4,FALSE,4
1,362.6404255319149,358.3941489361702,1880,2,1,FALSE,1
2,174.0615850580515,263.2051993942453,3962,2,2,FALSE,2
3,213.29004854368932,154.29368932038835,1648,2,3,FALSE,3
4,169.3319959879639,101.85155466399198,2991,2,4,FALSE,4
1,370.4805057955743,359.92571127502634,1898,3,1,FALSE,1
2,174.9453164556962,263.4382278481013,3950,3,2,FALSE,2
3,213.44058500914076,154.12370505789153,1641,3,3,FALSE,3
4,169.41019581363943,101.86799459824442,2962,3,4,FALSE,4
1,377.830058417419,361.0541688794477,1883,4,1,FALSE,1
2,175.5532879818594,263.7336860670194,3969,4,2,FALSE,2
3,213.87916152897657,153.9241676942047,1622,4,3,FALSE,3
4,169.34815066168986,101.77265015269766,2947,4,4,FALSE,4
1,385.2841091492777,361.4114499732477,1869,5,1,FALSE,1
2,176.3788679245283,264.3559748427673,3975,5,2,FALSE,2
3,213.91806331471136,153.65052762259467,1611,5,3,FALSE,3
4,169.89714867617107,101.1378139850645,2946,5,4,FALSE,4
1,392.4818376068376,361.9893162393162,1872,6,1,FALSE,1
2,177.08828693253074,264.72435415099073,3987,6,2,FALSE,2
3,213.92729513247073,152.69192852741836,1623,6,3,FALSE,3
4,170.93438761776582,100.00942126514131,2972,6,4,FALSE,4
1,400.26737400530504,362.43501326259945,1885,7,1,FALSE,1
2,177.75433308214016,265.08138658628485,3981,7,2,FALSE,2
3,214.40257352941177,151.98835784313727,1632,7,3,FALSE,3
4,172.0529490616622,98.74865951742628,2984,7,4,FALSE,4
1,408.1911532385466,362.7209057398631,1899,8,1,FALSE,1
2,178.51633823896233,265.36368171613867,4009,8,2,FALSE,2
3,215.150061500615,151.21771217712177,1626,8,3,FALSE,3
4,173.04697986577182,97.5026845637584,2980,8,4,FALSE,4
1,415.0397208803006,362.30971551261405,1863,9,1,FALSE,1
2,179.0107688454796,265.92612071124466,3993,9,2,FALSE,2
3,215.8670807453416,150.6664596273292,1610,9,3,FALSE,3
4,173.3353596757852,96.98142519419115,2961,9,4,FALSE,4
1,421.94447410571274,362.05392418579817,1873,10,1,FALSE,1
2,179.43376494023903,266.3227091633466,4016,10,2,FALSE,2
3,216.8792781580585,150.33105164903546,1607,10,3,FALSE,3
4,173.57021421285276,96.66882012920776,2941,10,4,FALSE,4
1,428.99785177228785,360.8576799140709,1862,11,1,FALSE,1
2,180.1084186859855,266.8303772170872,4003,11,2,FALSE,2
3,218.01433021806852,150.2828660436137,1605,11,3,FALSE,3
4,173.68302658486706,96.4478527607362,2934,11,4,FALSE,4
1,435.78224917309814,360.41289966923927,1814,12,1,FALSE,1
2,180.6937703277458,267.05103827870903,3997,12,2,FALSE,2
3,219.09388511426806,149.62693020382952,1619,12,3,FALSE,3
4,174.97879616963064,95.12893296853625,2924,12,4,FALSE,4
1,442.9078516902944,359.4422028353326,1834,13,1,FALSE,1
2,181.1075,267.366,4000,13,2,FALSE,2
3,220.20158827122785,149.57849725106902,1637,13,3,FALSE,3
4,176.1497435897436,93.78017094017093,2925,13,4,FALSE,4
1,449.15800749866094,357.9791108730584,1867,14,1,FALSE,1
