id,x,y,size,frame,track,ignore,track_fixed
1,613.3713662790698,410.1438953488372,1376,1,1,FALSE,1
2,509.05807002561914,346.8070025619129,1171,1,2,FALSE,2
3,383.49075500770414,334.5431432973806,1298,1,3,FALSE,3
4,476.9645901639344,278.63475409836065,1525,1,4,FALSE,4
5,354.6030577576444,271.0294450736127,1766,1,5,FALSE,5
1,614.6641841570752,409.1760324983074,1477,2,1,FALSE,1
2,499.0180897250362,353.2105643994211,1382,2,2,FALSE,2
3,376.47755367599217,336.29212752114506,1537,2,3,FALSE,3
4,477.7853717026379,278.28956834532374,1668,2,4,FALSE,4
5,355.63501026694047,269.88911704312113,1948,2,5,FALSE,5
1,615.5931174089069,408.5816464237517,1482,3,1,FALSE,1
2,491.39324227174694,361.47016534867004,1391,3,2,FALSE,2
3,369.98149372108395,338.2346331791143,1513,3,3,FALSE,3
4,479.2264600715137,278.03694874851016,1678,3,4,FALSE,4
5,356.6878552971576,268.943669250646,1935,3,5,FALSE,5
1,615.8446536650976,408.5877605917956,1487,4,1,FALSE,1
2,486.99420709630704,371.875452570601,1381,4,2,FALSE,2
3,364.19741320626275,341.9564329475834,1469,4,3,FALSE,3
4,480.6502107164359,277.93919325707407,1661,4,4,FALSE,4
5,357.49608355091385,268.1086161879896,1915,4,5,FALSE,5
1,616.2403204272363,408.81975967957277,1498,5,1,FALSE,1
2,486.24,383.7577358490566,1325,5,2,FALSE,2
3,360.0612244897959,345.821768707483,1470,5,3,FALSE,3
4,482.41731343283584,277.40417910447763,1675,5,4,FALSE,4
5,358.2110762800418,267.8469174503657,1914,5,5,FALSE,5
1,616.6586826347306,408.94544244843644,1503,6,1,FALSE,1
2,490.29772191673214,396.54045561665356,1273,6,2,FALSE,2
3,357.2588797814208,351.1659836065574,1464,6,3,FALSE,3
4,483.8922261484099,276.75147232037693,1698,6,4,FALSE,4
5,358.65057113187953,267.7907580477674,1926,6,5,FALSE,5
1,616.9380825565912,409.0619174434088,1502,7,1,FALSE,1
2,499.0571672354949,408.0358361774744,1172,7,2,FALSE,2
3,356.46885934219733,356.5003498950315,1429,7,3,FALSE,3
4,485.02095808383234,276.3532934131737,1670,7,4,FALSE,4
5,359.3391719745223,267.7043524416136,1884,7,5,FALSE,5
1,617.4261631827377,409.2865812542144,1483,8,1,FALSE,1
2,510.1540425531915,415.4944680851064,1175,8,2,FALSE,2
3,357.89142857142855,361.0621428571429,1400,8,3,FALSE,3
4,487.1527446300716,275.5531026252983,1676,8,4,FALSE,4
5,360.0444325481799,267.61134903640254,1868,8,5,FALSE,5
1,617.82246133154,409.4310692669805,1487,9,1,FALSE,1
2,520.2044887780548,418.3399833748961,1203,9,2,FALSE,2
3,360.07988587731813,365.68901569186875,1402,9,3,FALSE,3
4,488.30484160191276,274.98565451285117,1673,9,4,FALSE,4
5,360.6764392324094,267.2084221748401,1876,9,5,FALSE,5
1,524.5567522783762,415.88152444076223,1207,10,2,FALSE,2
2,618.2044384667115,409.4317417619368,1487,10,1,FALSE,1
3,363.7772170151406,368.84282624369143,1387,10,3,FALSE,3
4,489.3967587034814,274.53061224489795,1666,10,4,FALSE,4
5,361.2494635193133,266.8068669527897,1864,10,5,FALSE,5
1,619.2567385444744,408.8194070080863,1484,11,1,FALSE,1
2,537.9556285949055,411.16762530813475,1217,11,2,FALSE,2
3,368.963503649635,369.8970802919708,1370,11,3,FALSE,3
4,491.219111381619,274.0407790626902,1643,11,4,FALSE,4
5,361.753912574204,266.4533189422558,1853,11,5,FALSE,5
1,620.3660531697342,408.20313565098843,1467,12,1,FALSE,1
2,549.4510913500404,404.10105092966853,1237,12,2,FALSE,2
3,374.4511063526053,370.807994289793,1401,12,3,FALSE,3
4,492.420405654579,273.79532882606026,1627,12,4,FALSE,4
5,362.17016693591813,265.77598276790525,1857,12,5,FALSE,5
1,621.8451178451179,407.5144781144781,1485,13,1,FALSE,1
2,558.9125984251968,392.89212598425195,1270,13,2,FALSE,2
3,379.9421841541756,370.95146324054247,1401,13,3,FALSE,3
4,493.2838905775076,273.53617021276597,1645,13,4,FALSE,4
5,362.3117300482057,265.25549009105515,1867,13,5,FALSE,5
1,622.9535623409669,406.4185750636132,1572,14,1,FALSE,1
2,565.8914450035945,379.35226455787205,1391,14,2,FALSE,2
3,385.4794701986755,368.21324503311257,1510,14,3,FALSE,3
4,493.5502008032129,273.90877796901896,1743,14,4,FALSE,4
5,362.42121366649667,264.5175930647629,1961,14,5,FALSE,5
1,623.4769129287599,405.2486807387863,1516,15,1,FALSE,1
2,569.2284843869003,364.65498857578064,1313,15,2,FALSE,2
3,390.47063037249285,363.1669054441261,1396,15,3,FALSE,3
4,362.6357406431207,263.7780706378492,1897,15,5,FALSE,5
5,493.7691850089233,273.7608566329566,1681,15,4,FALSE,4
1,623.8805120910384,404.34495021337125,1406,16,1,FALSE,1
2,394.4005016722408,357.33110367892976,1196,16,3,FALSE,3
3,567.5398457583548,348.9751499571551,1167,16,2,FALSE,2
4,493.6520601700458,273.7501635055592,1529,16,4,FALSE,4
5,363.35509736540666,263.5005727376861,1746,16,5,FALSE,5
1,624.031954887218,403.32581453634083,1596,17,1,FALSE,1
2,396.98083504449005,350.90212183436,1461,17,3,FALSE,3
3,559.9909090909091,335.1552447552448,1430,17,2,FALSE,2
4,494.1071829405163,273.10886644219977,1782,17,4,FALSE,4
5,363.13547415955844,262.92423482187655,1993,17,5,FALSE,5
1,624.5013020833334,402.958984375,1536,18,1,FALSE,1
2,397.6043956043956,343.81538461538463,1365,18,3,FALSE,3
3,551.2498215560314,324.65810135617414,1401,18,2,FALSE,2
4,362.7462532299742,261.98656330749355,1935,18,5,FALSE,5
5,494.1130638547159,272.41007615700056,1707,18,4,FALSE,4
1,625.1838926174497,402.78590604026846,1490,19,1,FALSE,1
2,395.77158555729983,336.6373626373626,1274,19,3,FALSE,3
3,540.4602026049204,318.7691751085384,1382,19,2,FALSE,2
4,362.330658105939,260.8031032637774,1869,19,5,FALSE,5
5,493.6001209921355,271.7852389594676,1653,19,4,FALSE,4
1,625.9253350350989,402.0740268028079,1567,20,1,FALSE,1
2,391.6469740634006,330.5864553314121,1388,20,3,FALSE,3
3,528.9073333333333,317.522,1500,20,2,FALSE,2
4,362.1088056680162,260.4063765182186,1976,20,5,FALSE,5
5,493.44109277177006,271.29311326124076,1757,20,4,FALSE,4
1,626.5897763578275,401.5731629392971,1565,21,1,FALSE,1
2,385.84384164222877,325.89369501466274,1364,21,3,FALSE,3
3,515.9886968085107,320.44348404255317,1504,21,2,FALSE,2
4,493.6781479390175,271.927159796725,1771,21,4,FALSE,4
5,361.5564024390244,259.8455284552846,1968,21,5,FALSE,5
1,627.4421678783873,401.0760079312624,1513,22,1,FALSE,1
2,504.2760989010989,325.75206043956047,1456,22,2,FALSE,2
3,380.75583203732504,322.7566096423017,1286,22,3,FALSE,3
4,493.5355477855478,273.23193473193476,1716,22,4,FALSE,4
5,361.00531349628056,259.19394261424014,1882,22,5,FALSE,5
1,628.0638002773925,400.51525658807213,1442,23,1,FALSE,1
2,494.59053954175903,333.4641537324464,1353,23,2,FALSE,2
3,373.8523769808173,321.55629691409507,1199,23,3,FALSE,3
4,493,274.2750466708152,1607,23,4,FALSE,4
5,360.5066592674806,258.9256381798002,1802,23,5,FALSE,5
1,628.7177631578948,399.71447368421053,1520,24,1,FALSE,1
2,487.6158536585366,342.22222222222223,1476,24,2,FALSE,2
3,367.4612462006079,322.1033434650456,1316,24,3,FALSE,3
4,493.1036299765808,274.7558548009368,1708,24,4,FALSE,4
5,360.61832460732984,258.82303664921466,1910,24,5,FALSE,5
1,629.3691496374423,399.4825313117996,1517,25,1,FALSE,1
2,483.42024128686325,351.8558981233244,1492,25,2,FALSE,2
3,361.1260377358491,324.2898113207547,1325,25,3,FALSE,3
4,493.2661662817552,275.1027713625866,1732,25,4,FALSE,4
5,361.3719008264463,259.3264462809917,1936,25,5,FALSE,5
1,630.0769230769231,399.2547635850388,1417,26,1,FALSE,1
2,484.32250922509223,353.4206642066421,1355,26,2,FALSE,2
3,355.55160450997397,327.1856027753686,1153,26,3,FALSE,3
4,492.99812850904556,275.09170305676855,1603,26,4,FALSE,4
5,361.8594355285003,259.72329828444936,1807,26,5,FALSE,5
1,630.759388038943,398.5507649513213,1438,27,1,FALSE,1
2,482.27063197026024,361.3003717472119,1345,27,2,FALSE,2
3,352.0801724137931,331.53362068965515,1160,27,3,FALSE,3
4,493.16791979949875,275.8170426065163,1596,27,4,FALSE,4
5,362.5854201446856,260.00445186421814,1797,27,5,FALSE,5
1,631.1129349967171,397.8345370978332,1523,28,1,FALSE,1
2,480.5224184782609,370.96875,1472,28,2,FALSE,2
3,349.83546205860256,336.3200601051841,1331,28,3,FALSE,3
4,493.1406779661017,276.0734463276836,1770,28,4,FALSE,4
5,363.62614913176714,260.1828396322778,1958,28,5,FALSE,5
1,631.7084217975938,397.45859872611464,1413,29,1,FALSE,1
2,482.02999210734015,382.15785319652724,1267,29,2,FALSE,2
3,348.99048442906576,341.3295847750865,1156,29,3,FALSE,3
4,492.72750157331654,276.0748898678414,1589,29,4,FALSE,4
5,364.45601336302894,260.0662583518931,1796,29,5,FALSE,5
1,632.5059649122807,397.17824561403506,1425,30,1,FALSE,1
2,486.53788509575355,393.11490424646126,1201,30,2,FALSE,2
3,350.4028021015762,346.92119089316986,1142,30,3,FALSE,3
4,492.60657811511703,276.71283997469953,1581,30,4,FALSE,4
5,364.54117647058825,259.52100840336135,1785,30,5,FALSE,5
1,632.9439683586025,396.20566908371785,1517,31,1,FALSE,1
2,491.4412433661865,399.01743745261564,1319,31,2,FALSE,2
3,353.3671354552184,351.07253886010363,1351,31,3,FALSE,3
4,492.5057273768614,277.1947308132875,1746,31,4,FALSE,4
5,364.06756059824653,258.4244455905106,1939,31,5,FALSE,5
1,633.3289731850883,395.5689993459778,1529,32,1,FALSE,1
2,501.28492063492064,404.48333333333335,1260,32,2,FALSE,2
3,358.4710198092443,354.81291269258986,1363,32,3,FALSE,3
4,492.1317699609157,277.41931881630376,1791,32,4,FALSE,4
5,363.2366026289181,257.5247724974722,1978,32,5,FALSE,5
1,515.0228426395939,409.7817258883249,1182,33,2,FALSE,2
2,634.0381731424676,395.51533742331287,1467,33,1,FALSE,1
3,364.15942028985506,356.2793880837359,1242,33,3,FALSE,3
4,491.6114457831325,277.78915662650604,1660,33,4,FALSE,4
5,362.36777954425014,256.519342872284,1887,33,5,FALSE,5
1,529.428927680798,410.3275145469659,1203,34,2,FALSE,2
2,634.176510989011,394.7664835164835,1456,34,1,FALSE,1
3,370.1735270379338,356.5682001614205,1239,34,3,FALSE,3
4,491.4175757575758,278.04424242424244,1650,34,4,FALSE,4
5,361.31601272534465,255.61399787910923,1886,34,5,FALSE,5
1,543.0753968253969,405.48571428571427,1260,35,2,FALSE,2
2,634.635814889336,393.8839704896043,1491,35,1,FALSE,1
3,376.57261098570353,355.03987960872837,1329,35,3,FALSE,3
4,490.97963932518905,278.99011052937755,1719,35,4,FALSE,4
5,360.85349668198063,254.12455334354263,1959,35,5,FALSE,5
1,548.8867488443759,399.61171032357475,1298,36,2,FALSE,2
2,635.0629555997349,393.80450629556,1509,36,1,FALSE,1
3,382.50688073394497,350.3822629969419,1308,36,3,FALSE,3
4,490.39814814814815,279.26851851851853,1728,36,4,FALSE,4
5,360.00926879505664,253.6745623069001,1942,36,5,FALSE,5
1,636.0594125500668,393.6335113484646,1498,37,1,FALSE,1
2,558.2411674347159,387.8563748079877,1302,37,2,FALSE,2
3,386.62147335423197,345.73746081504703,1276,37,3,FALSE,3
4,489.85117647058826,280.1758823529412,1700,37,4,FALSE,4
5,358.92819979188346,253.5468262226847,1922,37,5,FALSE,5
1,636.7633689839572,393.17045454545456,1496,38,1,FALSE,1
2,564.2697466467959,374.4806259314456,1342,38,2,FALSE,2
3,388.9145098039216,338.02666666666664,1275,38,3,FALSE,3
4,489.3568075117371,280.5821596244131,1704,38,4,FALSE,4
5,358.3248966942149,252.599173553719,1936,38,5,FALSE,5
1,636.9892183288409,392.85175202156336,1484,39,1,FALSE,1
2,565.4981549815498,359.48782287822877,1355,39,2,FALSE,2
3,388.76277955271564,330.90415335463257,1252,39,3,FALSE,3
4,488.2614571092832,279.88131609870743,1702,39,4,FALSE,4
5,358.4450777202073,250.8124352331606,1930,39,5,FALSE,5
1,637.1782945736434,392.8858350951374,1419,40,1,FALSE,1
2,562.144,345.6344,1250,40,2,FALSE,2
3,385.6490467937608,323.4965337954939,1154,40,3,FALSE,3
4,486.8181818181818,278.9755485893417,1595,40,4,FALSE,4
5,358.3172189027702,249.1265616512765,1841,40,5,FALSE,5
1,637.0763563295378,392.92967180174145,1493,41,1,FALSE,1
2,554.0173410404624,332.43424855491327,1384,41,2,FALSE,2
3,381.0127084988086,317.5067513899921,1259,41,3,FALSE,3
4,485.5351862803075,278.9420461265523,1691,41,4,FALSE,4
5,358.24511819116134,247.18859198355602,1946,41,5,FALSE,5
1,637.3076923076923,393.01204013377924,1495,42,1,FALSE,1
2,543.4134477825465,323.0758226037196,1398,42,2,FALSE,2
3,375.51789976133654,313.2155926809865,1257,42,3,FALSE,3
4,483.67105263157896,278.6584928229665,1672,42,4,FALSE,4
5,358.5083333333333,245.55729166666666,1920,42,5,FALSE,5
1,637.4716066481994,393.0893351800554,1444,43,1,FALSE,1
2,531.2622088655146,318.480841472577,1331,43,2,FALSE,2
3,368.34137931034485,311.23189655172416,1160,43,3,FALSE,3
4,480.30267246737105,278.3536357986327,1609,43,4,FALSE,4
5,358.1015583019882,243.45781837721654,1861,43,5,FALSE,5
1,637.3051420838972,393.1062246278755,1478,44,1,FALSE,1
2,517.7687272727272,319.29672727272725,1375,44,2,FALSE,2
3,360.5475189234651,310.82590412111017,1189,44,3,FALSE,3
4,477.6905615292712,278.75985663082434,1674,44,4,FALSE,4
5,357.4664218258132,242.00944386149004,1906,44,5,FALSE,5
1,637.2740286298568,393.159509202454,1467,45,1,FALSE,1
2,503.7762962962963,323.9266666666667,1350,45,2,FALSE,2
3,353.11548331907613,311.6946107784431,1169,45,3,FALSE,3
4,474.6139393939394,278.6630303030303,1650,45,4,FALSE,4
5,356.75,241.2293868921776,1892,45,5,FALSE,5
1,637.3020270270271,393.2391891891892,1480,46,1,FALSE,1
3,346.34749362786744,314.91843670348345,1177,46,3,FALSE,3
4,356.0282870612886,240.55421686746988,1909,46,5,FALSE,5
5,490.66220735785953,329.6943143812709,1495,46,2,FALSE,2
6,472.2793670115642,279.7169811320755,1643,46,4,FALSE,4
1,637.2814614343707,393.265899864682,1478,47,1,FALSE,1
3,341.79711375212224,319.1239388794567,1178,47,3,FALSE,3
4,354.95987328405494,240.01372756071805,1894,47,5,FALSE,5
5,470.4214628297362,281.62290167865706,1668,47,4,FALSE,4
