id,x,y,size,frame,track,ignore,track_fixed
1,410.3048780487805,432.3373983739837,246,1,1,FALSE,1
1,422.21016949152545,442.7389830508475,295,2,1,FALSE,1
1,429.32978723404256,458.8900709219858,282,3,1,FALSE,1
2,550.1007194244604,446.2086330935252,139,3,2,FALSE,2
1,427.9895833333333,475.9270833333333,288,4,1,FALSE,1
2,550.25,454.71610169491527,236,4,2,FALSE,2
3,497.75,444,4,4,3,TRUE,3
1,418.9601593625498,490.9521912350598,251,5,1,FALSE,1
2,549.5172413793103,462.1163793103448,232,5,2,FALSE,2
1,405.86131386861314,499.5985401459854,274,6,1,FALSE,1
2,548.9721254355401,469.993031358885,287,6,2,FALSE,2
3,489.125,442.125,8,6,3,TRUE,3
1,388.70168067226894,501.6302521008403,238,7,1,FALSE,1
2,548.3164983164983,477.05723905723903,297,7,2,FALSE,2
3,485.5,440.5,16,7,3,TRUE,3
1,373.32272727272726,496.4909090909091,220,8,1,FALSE,1
2,546.5800711743773,483.33451957295375,281,8,2,FALSE,2
3,481.5,438,2,8,3,TRUE,3
1,544.7337883959044,488.87713310580205,293,9,2,FALSE,2
2,361.4830508474576,485.135593220339,236,9,1,FALSE,1
3,477.5,434.5,4,9,3,TRUE,3
1,540.6115107913669,491.91007194244605,278,10,2,FALSE,2
2,356.0689655172414,471.18390804597703,261,10,1,FALSE,1
3,474,431,9,10,3,TRUE,3
1,537.0472727272727,495.95272727272726,275,11,2,FALSE,2
2,357.0108695652174,455.67753623188406,276,11,1,FALSE,1
3,471.5,426,2,11,3,TRUE,3
1,533.6007194244604,499.32374100719426,278,12,2,FALSE,2
2,364.97818181818184,442.0509090909091,275,12,1,FALSE,1
3,469.3333333333333,421.3333333333333,3,12,3,TRUE,3
1,529.4037735849057,502.0641509433962,265,13,2,FALSE,2
2,381.0113636363636,432.68560606060606,264,13,1,FALSE,1
3,468.25,416.25,4,13,3,TRUE,3
1,524.5938697318007,504.2988505747126,261,14,2,FALSE,2
2,396.5112781954887,431.66541353383457,266,14,1,FALSE,1
1,520.6591760299625,505.7191011235955,267,15,2,FALSE,2
2,410.5287769784173,437.31654676258995,278,15,1,FALSE,1
3,467.7142857142857,406.57142857142856,7,15,3,TRUE,3
1,516.3558052434457,507.8689138576779,267,16,2,FALSE,2
2,421.09818181818184,448.37454545454545,275,16,1,FALSE,1
3,467.8,401.4,5,16,3,TRUE,3
1,513,510.0627062706271,303,17,2,FALSE,2
2,426.50159744408944,463.73162939297123,313,17,1,FALSE,1
3,466.875,397.15625,32,17,3,TRUE,3
1,508.7464788732394,512.5422535211268,284,18,2,FALSE,2
2,424.5275080906149,480.02265372168284,309,18,1,FALSE,1
3,467.1875,392.6875,16,18,3,TRUE,3
1,504.3951048951049,514.8566433566433,286,19,2,FALSE,2
2,416.5348837209302,493.27242524916943,301,19,1,FALSE,1
3,468.1666666666667,389.2,30,19,3,TRUE,3
1,500.121568627451,517.4549019607844,255,20,2,FALSE,2
2,402.90909090909093,501.9669421487603,242,20,1,FALSE,1
3,470.5,386.5,4,20,3,TRUE,3
1,501.65055762081784,518.3085501858736,269,21,2,FALSE,2
2,386.41346153846155,503.2067307692308,208,21,1,FALSE,1
3,472.7142857142857,384,7,21,3,TRUE,3
1,503.4861660079051,518.0632411067194,253,22,2,FALSE,2
2,372.171875,498.3958333333333,192,22,1,FALSE,1
3,474.5,381.5,4,22,3,TRUE,3
1,508.59934853420197,517.657980456026,307,23,2,FALSE,2
2,360.43939393939394,487.2462121212121,264,23,1,FALSE,1
3,476.5357142857143,380.35714285714283,28,23,3,TRUE,3
1,512.3344709897611,515.8703071672355,293,24,2,FALSE,2
2,355.15602836879435,473.4113475177305,282,24,1,FALSE,1
3,478.5,382,6,24,3,TRUE,3
1,516.3039215686274,513.4509803921569,306,25,2,FALSE,2
2,355.9375,457.865625,320,25,1,FALSE,1
1,519.3562091503268,511.62745098039215,306,26,2,FALSE,2
2,363.7699680511182,444.6102236421725,313,26,1,FALSE,1
1,521.6168831168832,510.23376623376623,308,27,2,FALSE,2
2,378.81188118811883,434.970297029703,303,27,1,FALSE,1
1,523.7956204379562,508.85036496350364,274,28,2,FALSE,2
2,394.62545454545455,433.37454545454545,275,28,1,FALSE,1
1,524.1672025723473,508.08360128617363,311,29,2,FALSE,2
2,409.4811320754717,439.3301886792453,318,29,1,FALSE,1
1,522.9003322259136,506.98671096345515,301,30,2,FALSE,2
2,419.5806451612903,450.51612903225805,310,30,1,FALSE,1
1,523.7986348122867,506.641638225256,293,31,2,FALSE,2
2,424.03401360544217,465.7857142857143,294,31,1,FALSE,1
1,524.519877675841,507.2905198776758,327,32,2,FALSE,2
2,421.9721362229102,481.57275541795667,323,32,1,FALSE,1
1,523,508.17704918032786,305,33,2,FALSE,2
2,413.233676975945,495.0378006872852,291,33,1,FALSE,1
1,522.0383275261324,507.2926829268293,287,34,2,FALSE,2
2,399.81742738589213,502.89211618257264,241,34,1,FALSE,1
1,522.6168831168832,507.1915584415584,308,35,2,FALSE,2
2,383.6723404255319,504.1404255319149,235,35,1,FALSE,1
1,524.4032786885246,507.2327868852459,305,36,2,FALSE,2
2,369.0131004366812,498.8340611353712,229,36,1,FALSE,1
1,526.0477941176471,508,272,37,2,FALSE,2
2,357.93364928909955,487.17535545023696,211,37,1,FALSE,1
1,526.1666666666666,508.51851851851853,270,38,2,FALSE,2
2,353.0570175438597,473.54824561403507,228,38,1,FALSE,1
1,526.2926045016077,508.62700964630227,311,39,2,FALSE,2
2,354.39446366782005,459.0968858131488,289,39,1,FALSE,1
1,526.176848874598,508.70739549839226,311,40,2,FALSE,2
2,361.3084745762712,446.25762711864405,295,40,1,FALSE,1
1,526.1521035598705,508.68932038834953,309,41,2,FALSE,2
2,374.8014440433213,437.014440433213,277,41,1,FALSE,1
1,526.0671140939597,508.61073825503354,298,42,2,FALSE,2
2,390.8093525179856,433.77338129496405,278,42,1,FALSE,1
1,526.1609589041096,508.5890410958904,292,43,2,FALSE,2
2,405.8623188405797,436.8152173913044,276,43,1,FALSE,1
1,525.3727598566309,508.72759856630825,279,44,2,FALSE,2
2,417.8369565217391,445.65579710144925,276,44,1,FALSE,1
1,525.2677824267782,508.93723849372384,239,45,2,FALSE,2
2,424.9510204081633,459.7061224489796,245,45,1,FALSE,1
1,525.7971014492754,508.9891304347826,276,46,2,FALSE,2
2,424.9268292682927,474.3658536585366,287,46,1,FALSE,1
1,524.9343065693431,509.007299270073,274,47,2,FALSE,2
2,420.56535947712416,482.23856209150324,306,47,1,FALSE,1
1,524.6477272727273,509.1515151515151,264,48,2,FALSE,2
2,415.08680555555554,486.5138888888889,288,48,1,FALSE,1
1,524.9925373134329,509.0559701492537,268,49,2,FALSE,2
2,408.226148409894,488.434628975265,283,49,1,FALSE,1
1,524.5793650793651,509.2142857142857,252,50,2,FALSE,2
2,401.58364312267656,486.70631970260223,269,50,1,FALSE,1
1,524.6679245283019,509.1811320754717,265,51,2,FALSE,2
2,395.1219512195122,481.4843205574913,287,51,1,FALSE,1
1,524.8053435114504,509.2251908396947,262,52,2,FALSE,2
2,391.00333333333333,472.84,300,52,1,FALSE,1
1,524.0346153846153,509.33076923076925,260,53,2,FALSE,2
2,390.46232876712327,460.4178082191781,292,53,1,FALSE,1
1,523.7946768060837,509.212927756654,263,54,2,FALSE,2
2,393.48148148148147,447.35690235690237,297,54,1,FALSE,1
1,523.456,509.1,250,55,2,FALSE,2
2,400.61059190031153,437.01246105919006,321,55,1,FALSE,1
1,523.132,509.076,250,56,2,FALSE,2
2,408.61993769470405,427.94392523364485,321,56,1,FALSE,1
1,525.4163424124514,508.0466926070039,257,57,2,FALSE,2
2,415.4025157232704,419.15723270440253,318,57,1,FALSE,1
