id,x,y,size,frame,track,ignore,track_fixed
1,430.3278427205101,722.0648246546227,1882,1,1,FALSE,1
3,154.3912310286678,470.0697020798201,1779,1,2,FALSE,2
4,152.18173515981735,596.1022831050228,1095,1,3,FALSE,3
5,139.7566709021601,540.4936467598475,1574,1,4,FALSE,4
1,430.28878406708594,721.9407756813417,1908,2,1,FALSE,1
3,154.4421883812747,469.9915397631134,1773,2,2,FALSE,2
4,152.63324048282266,596.6434540389972,1077,2,3,FALSE,3
5,139.65178571428572,540.6498724489796,1568,2,4,FALSE,4
1,430.4873150105708,721.9603594080338,1892,3,1,FALSE,1
3,154.36786114221724,470.09854423292273,1786,3,2,FALSE,2
4,139.5182108626198,540.6952076677317,1565,3,4,FALSE,4
5,152.7304189435337,596.1329690346083,1098,3,3,FALSE,3
1,430.3233280674039,721.9231174302264,1899,4,1,FALSE,1
3,154.62785388127853,469.34646118721463,1752,4,2,FALSE,2
4,152.52003727865798,596.2003727865797,1073,4,3,FALSE,3
5,139.69166127989658,540.4292178409826,1547,4,4,FALSE,4
1,430.34784889821617,721.9763903462749,1906,5,1,FALSE,1
3,154.5247634947134,469.9304396215915,1797,5,2,FALSE,2
4,152.71441689623506,596.2791551882461,1089,5,3,FALSE,3
5,139.87948717948717,540.5891025641025,1560,5,4,FALSE,4
1,430.3751995742416,722.0649281532731,1879,6,1,FALSE,1
3,154.41685393258427,469.9629213483146,1780,6,2,FALSE,2
4,139.88796414852752,540.5889884763125,1562,6,4,FALSE,4
5,153.01382488479263,596.3364055299539,1085,6,3,FALSE,3
1,430.48248407643314,722.0695329087049,1884,7,1,FALSE,1
3,154.47669848399775,469.7490174059517,1781,7,2,FALSE,2
4,139.7437379576108,540.5716120745022,1557,7,4,FALSE,4
5,152.88022284122562,595.9507892293408,1077,7,3,FALSE,3
1,430.5638579756227,722.0445151033387,1887,8,1,FALSE,1
3,154.55936972425437,469.67867191896454,1777,8,2,FALSE,2
4,139.76147959183675,540.5293367346939,1568,8,4,FALSE,4
5,152.75208140610545,596.1100832562443,1081,8,3,FALSE,3
1,430.53432180120814,722.1927512355849,1821,9,1,FALSE,1
3,154.72042341220424,469.607098381071,1606,9,2,FALSE,2
4,152.69777306468717,596.6702014846236,943,9,3,FALSE,3
5,139.59216745442268,540.896691424713,1481,9,4,FALSE,4
1,430.52517223105457,721.9978802331743,1887,10,1,FALSE,1
3,154.3938223938224,470.10369553226695,1813,10,2,FALSE,2
4,139.72854418308964,540.481881754609,1573,10,4,FALSE,4
5,152.8147465437788,595.689400921659,1085,10,3,FALSE,3
1,430.5796178343949,722.1188959660298,1884,11,1,FALSE,1
3,154.38200999444754,470.07107162687396,1801,11,2,FALSE,2
4,139.53905249679897,540.5928297055058,1562,11,4,FALSE,4
5,153.20955882352942,595.8648897058823,1088,11,3,FALSE,3
1,430.52848101265823,721.995253164557,1896,12,1,FALSE,1
3,154.41652983032293,469.9775588396278,1827,12,2,FALSE,2
4,153.3415300546448,596.0437158469946,1098,12,3,FALSE,3
5,139.2596153846154,540.5608974358975,1560,12,4,FALSE,4
1,430.49113379903275,722.1423965609887,1861,13,1,FALSE,1
3,154.59613130128957,469.8012895662368,1706,13,2,FALSE,2
4,139.322,540.8706666666667,1500,13,4,FALSE,4
5,153.75624375624375,596.4895104895105,1001,13,3,FALSE,3
1,430.49205508474574,722.1175847457627,1888,14,1,FALSE,1
3,154.31509846827134,470.11925601750545,1828,14,2,FALSE,2
4,139.3337620578778,540.5787781350482,1555,14,4,FALSE,4
5,153.45345622119817,595.8746543778802,1085,14,3,FALSE,3
1,430.4504021447721,722.0589812332439,1865,15,1,FALSE,1
3,154.586186540732,469.7402597402597,1694,15,2,FALSE,2
4,139.51728723404256,540.9906914893617,1504,15,4,FALSE,4
5,153.23620522749275,595.7463697967086,1033,15,3,FALSE,3
1,430.6904109589041,722.1238356164383,1825,16,1,FALSE,1
3,154.73210892970235,469.77834072197595,1579,16,2,FALSE,2
4,139.2945205479452,541.0917808219178,1460,16,4,FALSE,4
5,153.39300847457628,596.0222457627119,944,16,3,FALSE,3
1,430.6324468085106,722.0648936170213,1880,17,1,FALSE,1
3,154.3829551743221,470.1344770337576,1807,17,2,FALSE,2
4,139.64505776636713,540.7163029525032,1558,17,4,FALSE,4
5,153.44927536231884,595.2744565217391,1104,17,3,FALSE,3
1,430.38232161874333,722.1054313099041,1878,18,1,FALSE,1
3,154.4750700280112,469.97478991596637,1785,18,2,FALSE,2
4,139.45202833226014,540.6651641983258,1553,18,4,FALSE,4
5,153.3391544117647,595.3998161764706,1088,18,3,FALSE,3
1,430.6436343852013,722.0968443960827,1838,19,1,FALSE,1
3,154.66811684275947,469.858297078931,1609,19,2,FALSE,2
4,139.49488752556238,541.2119972733469,1467,19,4,FALSE,4
5,153.3128205128205,595.4123076923076,975,19,3,FALSE,3
1,430.3064431639602,721.9554740701939,1909,20,1,FALSE,1
3,154.5098814229249,469.798418972332,1771,20,2,FALSE,2
4,139.1846846846847,541.0096525096525,1554,20,4,FALSE,4
5,153.54174228675137,595.3638838475499,1102,20,3,FALSE,3
1,430.59178228388475,722.0949839914621,1874,21,1,FALSE,1
3,154.50652297220645,469.8808848553602,1763,21,2,FALSE,2
4,139.22928709055876,540.9755940912011,1557,21,4,FALSE,4
5,152.9372197309417,595.2313901345292,1115,21,3,FALSE,3
1,430.7212086659065,721.9920182440137,1754,22,1,FALSE,1
2,153.161800486618,596.9793187347932,822,22,3,FALSE,3
3,139.34704184704185,541.6038961038961,1386,22,4,FALSE,4
4,155.15166908563134,469.3577648766328,1378,22,2,FALSE,2
1,430.6378205128205,722.0977564102565,1872,23,1,FALSE,1
3,154.458942632171,469.8723284589426,1778,23,2,FALSE,2
4,139.63729246487867,540.5376756066411,1566,23,4,FALSE,4
5,153.13876040703053,595.3885291396855,1081,23,3,FALSE,3
1,430.67889420521,722.0696438064859,1881,24,1,FALSE,1
3,154.31075027995522,470.13493840985444,1786,24,2,FALSE,2
4,139.4185447520927,540.64198325821,1553,24,4,FALSE,4
5,153.0392694063927,595.3351598173516,1095,24,3,FALSE,3
1,430.8059542796385,722.0154173312068,1881,25,1,FALSE,1
3,154.4232505643341,469.9858916478555,1772,25,2,FALSE,2
4,153.2240587695133,595.4462809917355,1089,25,3,FALSE,3
5,139.3082901554404,540.5408031088083,1544,25,4,FALSE,4
1,430.7558711086838,722.1818678317859,1831,26,1,FALSE,1
