id,x,y,size,frame,track,ignore,track_fixed
3,295.0181660899654,644.2482698961937,1156,1,1,FALSE,1
4,505.8637067630356,516.006711409396,1937,1,2,FALSE,2
6,282.54938271604937,370.2829218106996,972,1,3,FALSE,3
8,462.96219621962194,52.28442844284429,2222,1,4,FALSE,4
9,319.9551934826884,51.229124236252545,982,1,5,FALSE,5
10,517.2954686530105,460.2364990689013,1611,1,6,TRUE,6
11,506.0980271270037,432.23859432799014,1622,1,7,FALSE,7
12,463.5452151009658,223.8235294117647,1139,1,8,FALSE,8
13,443.6097087378641,251.08252427184465,1030,1,9,TRUE,9
14,433.02001819836215,274.8744313011829,1099,1,10,FALSE,10
3,299.3113435237329,653.048270313757,1243,2,1,FALSE,1
5,276.5304937076476,368.06873184898353,1033,2,3,FALSE,3
7,462.86509349955475,51.92119323241318,2246,2,4,FALSE,4
8,311.9979035639413,44.4622641509434,954,2,5,FALSE,5
9,503.0186647523331,452.39554917444366,1393,2,7,FALSE,7
10,502.0092470277411,525.3705416116248,1514,2,2,FALSE,2
11,489.5618431689572,495.1204527081649,1237,2,11,TRUE,11
12,473.7142857142857,464.9877300613497,1141,2,12,TRUE,12
13,463.8125544899738,230.87358326068002,1147,2,8,FALSE,8
14,444.3351749539595,257.2145488029466,1086,2,9,TRUE,9
15,432.75968309859155,281.1452464788732,1136,2,10,FALSE,10
3,309.0103011093502,657.3288431061807,1262,3,1,FALSE,1
4,490.8206256109482,516.4912023460411,2046,3,2,FALSE,2
5,459.11772072636194,449.463368816531,3194,3,13,FALSE,7
6,273.85700667302194,365.83031458531934,1049,3,3,FALSE,3
8,462.5862831858407,51.05575221238938,2260,3,4,FALSE,4
9,314.0649627263046,32.76996805111821,939,3,5,FALSE,5
10,470.02693310165074,239.5543006081668,1151,3,8,FALSE,8
11,446.84124087591243,262.9808394160584,1096,3,9,TRUE,9
12,432.5302897278314,285.4258121158911,1139,3,10,FALSE,10
3,319.1516103692066,654.8743126472899,1273,4,1,FALSE,1
4,485.71947674418607,513.8764534883721,2064,4,2,FALSE,2
6,274.3268156424581,364.1666666666667,1074,4,3,FALSE,3
8,462.2222705524141,50.09699869508482,2299,4,4,FALSE,4
9,323.46138002059735,26.050463439752832,971,4,5,FALSE,5
10,462.3176848874598,433.56913183279744,1555,4,13,FALSE,7
11,465.34982332155477,402.4087161366313,1698,4,7,FALSE,7
12,451.0292237442922,268.3406392694064,1095,4,9,TRUE,9
