id,x,y,size,frame,track,ignore,track_fixed
8,474.58904719501334,538.4154051647373,2246,1,1,TRUE,1
14,546.6520090978014,473.10841546626233,1319,1,2,FALSE,2
17,489.92793771500993,374.23664674995473,5523,1,3,FALSE,3
25,797.9190672153635,248.11659807956104,1458,1,4,FALSE,4
27,397.3468085106383,201.1889748549323,5170,1,5,TRUE,5
12,456.33535497681055,543.2154834106315,2803,2,1,TRUE,1
19,543.6031578947368,473.20894736842104,1900,2,2,FALSE,2
31,766.5,197.39308510638298,1880,2,6,FALSE,4
13,436.84105720492397,538.4395365677045,2762,3,1,TRUE,1
19,542.6445040214477,472.2241286863271,1865,3,2,FALSE,2
31,723.1072555205047,156.94637223974763,1902,3,7,FALSE,4
12,421.00604686318974,526.6689342403628,2646,4,1,TRUE,1
17,544.1614763552479,470.80738177623994,1734,4,2,FALSE,2
28,665.9277942631059,131.74183976261128,2022,4,8,FALSE,4
16,411.2182280319535,511.5326797385621,2754,5,1,TRUE,1
21,545.5027292576419,470.09224890829694,1832,5,2,FALSE,2
27,439.1854522975479,423.29734185040184,4853,5,9,FALSE,3
30,508.1627284886313,374.0637539010254,2243,5,3,TRUE,9
34,604.88025477707,123.92271762208068,2355,5,10,FALSE,4
11,410.4873822975518,493.24595103578156,2655,6,1,TRUE,1
13,547.9220023282887,471.7526193247963,1718,6,2,FALSE,2
20,435.34818941504176,409.66509535033214,4667,6,9,FALSE,3
23,526.0457643622201,342.71859785783835,2054,6,11,TRUE,9
25,397.05138075313806,205.95380753138076,5975,6,12,TRUE,12
27,542.9416376306621,130.86454703832752,2296,6,13,FALSE,4
11,420.1833648393195,477.83137996219284,2645,7,1,TRUE,1
12,549.866432337434,475.07674282366725,1707,7,2,FALSE,2
18,441.80386680988187,395.1609022556391,4655,7,9,FALSE,3
21,510.52191235059763,311.25049800796813,2008,7,14,TRUE,9
22,397.284440706476,206.7143818334735,5945,7,12,TRUE,12
24,488.7300531914894,156.39760638297872,2256,7,15,FALSE,4
11,438.56365786361846,472.79779266850613,2537,8,1,TRUE,1
12,549.5009299442033,478.18164910105395,1613,8,2,FALSE,2
18,456.4401785714286,390.03839285714287,4480,8,9,FALSE,3
21,476.39487447698747,304.1626569037657,1912,8,16,TRUE,9
22,398.0871159217877,206.7304469273743,5728,8,12,TRUE,12
25,478.8824349442379,167.03810408921933,2152,8,15,FALSE,4
10,457.2922658375437,477.0680139914497,2573,9,1,TRUE,1
11,547.453086419753,478.9981481481482,1620,9,2,FALSE,2
19,468.08694685345785,399.2715143428953,4497,9,9,FALSE,3
21,452.2207460398569,330.3055697496168,1957,9,11,TRUE,9
22,399.10866551126514,207.0566724436742,5770,9,12,TRUE,12
24,488.9298959746721,176.58254183627318,2211,9,15,FALSE,4
9,474.6249024199844,490.1584699453552,2562,10,1,TRUE,1
10,547.3019801980198,476.9022277227723,1616,10,2,FALSE,2
20,400.16053453661925,207.0234293648039,5762,10,12,TRUE,12
23,516.8820512820513,175.62937062937064,2145,10,15,FALSE,4
4,482.58878887070375,515.0118657937807,2444,11,1,TRUE,1
6,548.6489849377865,474.73804846103474,1527,11,2,FALSE,2
10,458.6162949476559,437.47974510696406,4394,11,9,FALSE,3
14,492.75632911392404,375.03270042194094,1896,11,16,TRUE,9
16,401.01199641897944,206.69686660698298,5585,11,12,TRUE,12
18,574.3108632395732,160.6309408341416,2062,11,15,FALSE,4
3,483.38804780876495,536.9286852589642,2510,12,1,TRUE,1
5,551.4153455928979,474.45022194039313,1577,12,2,FALSE,2
8,443.3988764044944,439.9925842696629,4450,12,9,FALSE,3
13,512.8798102266737,370.5218766473379,1897,12,16,TRUE,9
14,401.74217376011256,206.35895181146677,5686,12,12,TRUE,12
16,623.149636803874,129.72348668280873,2065,12,17,TRUE,17
2,471.58899156287663,555.98192044998,2489,13,1,TRUE,1
4,555.081098339719,476.2381864623244,1566,13,2,FALSE,2
9,429.57546121360303,430.1098021782618,4499,13,9,FALSE,3
12,538.2320561252023,359.08850512682136,1853,13,11,TRUE,9
13,402.5477528089888,206.16695926966293,5696,13,12,TRUE,12
15,661.9208031232571,85.89068600111545,1793,13,18,TRUE,18
3,453.4119774919614,569.0393890675241,2488,14,1,TRUE,1
5,557.5440514469453,477.78649517684886,1555,14,2,FALSE,2
8,424.96050587974264,413.0574661637453,4507,14,9,FALSE,3
10,548.8432876712329,331.6619178082192,1825,14,19,TRUE,9
11,403.28337153941106,205.58614001058015,5671,14,12,TRUE,12
13,666.533698630137,44.333698630136986,1825,14,20,TRUE,20
2,432.9695493300853,573.4190012180268,2463,15,1,TRUE,1
4,556.4399486191394,480.5407835581246,1557,15,2,FALSE,2
7,433.0811232449298,397.190996211277,4487,15,9,FALSE,3
9,543.1409764125068,321.13658804168955,1823,15,19,TRUE,9
10,403.7669783030517,205.2734168283648,5669,15,12,TRUE,12
12,633.0138814735718,19.579818473037907,1873,15,21,TRUE,21
2,412.60538302277433,569.8293995859214,2415,16,1,TRUE,1
4,553.5943396226415,481.8975741239892,1484,16,2,FALSE,2
7,449.2339070973827,394.12992218816316,4241,16,9,FALSE,3
8,522.8871242200794,320.64775950085084,1763,16,19,TRUE,9
9,403.8593721647614,204.81291961531483,5511,16,12,TRUE,12
2,396.73690721649484,555.6676288659794,2425,17,1,TRUE,1
4,551.6630727762803,480.7466307277628,1484,17,2,FALSE,2
7,460.48890986314296,407.251061821614,4238,17,9,FALSE,3
8,505.2587968217934,335.25936435868334,1762,17,19,TRUE,9
9,403.5660032864707,204.5685594303451,5477,17,12,TRUE,12
2,390.8989429175476,534.7467230443974,2365,18,1,TRUE,1
4,552.6926829268293,478.5128919860627,1435,18,2,FALSE,2
7,463.68712394705176,426.2231046931408,4155,18,9,FALSE,3
8,509.1800699300699,360.33449883449885,1716,18,19,TRUE,9
9,402.63700407860586,204.93159065628475,5394,18,12,TRUE,12
3,395.0349233390119,516.0149063032368,2348,19,1,TRUE,1
4,556.2806158152554,479.16445066480054,1429,19,2,FALSE,2
6,457.9511100024944,444.5031179845348,4009,19,9,FALSE,3
8,533.4858299595141,374.1255060728745,1729,19,19,TRUE,9
9,401.698788443616,205.2357875116496,5365,19,12,TRUE,12
3,404.6142067205445,504.7941301573798,2351,20,1,TRUE,1
4,560.12543798178,480.3924316748423,1427,20,2,FALSE,2
5,447.6172560822674,452.4038123902684,3987,20,9,FALSE,3
8,556.985874043555,364.3749264273102,1699,20,19,TRUE,9
9,401.44306884261863,205.3346464078034,5331,20,12,TRUE,12
10,375.1812332439678,41.1769436997319,1865,20,22,TRUE,22
3,562.0566037735849,483.5045422781272,1431,21,2,FALSE,2
6,564.798463356974,339.1436170212766,1692,21,19,TRUE,9
7,401.58165548098435,205.470730797912,5364,21,12,TRUE,12
8,333.3741201949107,86.23876556578234,1847,21,23,TRUE,23
2,424.3459879206212,522.3377911993098,2318,22,1,TRUE,1
3,560.3160511363636,487.2698863636364,1408,22,2,FALSE,2
5,417.1759624876604,438.180157946693,4052,22,9,FALSE,3
7,551.3226381461676,315.57813428401664,1683,22,19,TRUE,9
8,401.7165354330709,205.5,5334,22,12,TRUE,12
9,307.35640326975476,139.92806539509536,1835,22,24,TRUE,24
2,439.97659297789335,534.4425661031643,2307,23,1,TRUE,1
3,556.6465578424414,487.81760113555714,1409,23,2,FALSE,2
5,410.9174673564917,424.3153486080315,4059,23,9,FALSE,3
7,524.8300769686205,310.048549437537,1689,23,19,TRUE,9
8,401.9220535881581,205.5315720442196,5337,23,12,TRUE,12
9,293.65149051490516,198.55176151761518,1845,23,25,TRUE,25
2,445.6964980544747,551.5179420665802,2313,24,1,TRUE,1
3,555.1897399859452,483.15600843288826,1423,24,2,FALSE,2
5,414.05615763546797,409.329802955665,4060,24,9,FALSE,3
6,504.06535947712416,324.85680332739156,1683,24,19,TRUE,9
7,294.51791530944627,256.5732899022801,1842,24,26,TRUE,26
8,402.00430872986135,205.56013488197826,5338,24,12,TRUE,12
3,440.901366353544,554.7600341588386,2342,25,1,TRUE,1
4,565.2139917695473,478.7962962962963,1458,25,2,FALSE,2
6,425.5033783783784,398.1281370656371,4144,25,9,FALSE,3
7,503.5189504373178,350.33002915451897,1715,25,19,TRUE,9
8,309.0198285101822,314.87674169346195,1866,25,27,TRUE,27
9,402.0382331106162,205.71881959910914,5388,25,12,TRUE,12
